Version: 1 OpenDRIVE: ..\xodr\_overtake0.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot, centerOffsetX, centerOffsetY, centerOffsetZ, ctrl_type, height, laneId, length, model_id, obj_category, obj_type, offset, roadId, s, t, width
0.000, 0, b'Ego', 10.000, -7.500, 0.000, 0.000, 0.000, 0.000, 43.000, 0.000, 0.000, 1.400, 0.000, 0.900, 0, 1.800, -3, 5.000, 0, 0, 1, 0.000, 0, 10.000, -7.500, 2.000
0.000, 1, b'A', -0.000, -4.500, 0.000, 0.000, 0.000, 0.000, 69.875, 0.000, 0.000, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 0.000, -4.500, 1.800
0.100, 0, b'Ego', 14.300, -7.500, 0.000, 0.000, 0.000, 0.000, 43.000, 0.000, 6.003, 1.400, 0.000, 0.900, 0, 1.800, -3, 5.000, 0, 0, 1, 0.000, 0, 14.300, -7.500, 2.000
0.100, 1, b'A', 6.988, -4.500, 0.000, 0.000, 0.000, 0.000, 69.875, 0.000, 1.115, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 6.988, -4.500, 1.800
0.200, 0, b'Ego', 18.600, -7.500, 0.000, 0.000, 0.000, 0.000, 43.000, 0.000, 5.722, 1.400, 0.000, 0.900, 0, 1.800, -3, 5.000, 0, 0, 1, 0.000, 0, 18.600, -7.500, 2.000
0.200, 1, b'A', 13.975, -4.500, 0.000, 0.000, 0.000, 0.000, 69.875, 0.000, 2.229, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 13.975, -4.500, 1.800
0.300, 0, b'Ego', 22.900, -7.500, 0.000, 0.000, 0.000, 0.000, 43.000, 0.000, 5.441, 1.400, 0.000, 0.900, 0, 1.800, -3, 5.000, 0, 0, 1, 0.000, 0, 22.900, -7.500, 2.000
0.300, 1, b'A', 20.962, -4.500, 0.000, 0.000, 0.000, 0.000, 69.875, 0.000, 3.344, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 20.962, -4.500, 1.800
0.400, 0, b'Ego', 27.200, -7.500, 0.000, 0.000, 0.000, 0.000, 43.000, 0.000, 5.161, 1.400, 0.000, 0.900, 0, 1.800, -3, 5.000, 0, 0, 1, 0.000, 0, 27.200, -7.500, 2.000
0.400, 1, b'A', 27.950, -4.500, 0.000, 0.000, 0.000, 0.000, 69.875, 0.000, 4.459, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 27.950, -4.500, 1.800
